proper,ra,dec,mag,hip
Sol,0.0,0.0,-26.7,
Alpheratz,0.139791,29.090432,2.07,677
Caph,0.152887,59.14978,2.28,746
,0.156836,-45.747426,3.88,765
Algenib,0.220598,15.183596,2.83,1067
,0.323799,-8.823921,3.56,1562
,0.427916,-77.254247,2.82,2021
,0.436716,-43.679829,3.93,2072
Ankaa,0.438056,-42.305981,2.4,2081
Fulu,0.616188,53.896909,3.69,2920
,0.655462,30.861024,3.27,3092
Schedar,0.675116,56.537331,2.24,3179
Diphda,0.72649,-17.986605,2.04,3419
Achird,0.81826,57.815187,3.46,3821
Cih,0.945143,60.71674,2.15,4427
,0.945885,38.499345,3.86,4436
,1.101407,-46.718414,3.32,5165
Wurren,1.139742,-55.24576,3.94,5348
,1.143164,-10.182264,3.46,5364
Mirach,1.162194,35.620558,2.07,5447
,1.40039,-8.183257,3.6,6537
Ruchbah,1.430216,60.235283,2.66,6686
,1.472759,-43.318234,3.41,6867
,1.520851,-49.072702,3.93,7083
Alpherg,1.524725,15.345823,3.62,7097
Achernar,1.628556,-57.236757,0.45,7588
Nembus,1.633205,48.628213,3.59,7607
,1.734479,-15.93748,3.49,8102
Baten Kaitos,1.857676,-10.335038,3.74,8645
Mothallah,1.884696,29.578829,3.42,8796
Mesarthim,1.89217,19.293852,3.88,8832
Segin,1.906584,63.670101,3.35,8886
Sheratan,1.910668,20.808035,2.64,8903
,1.932564,-51.608896,3.69,9007
,1.979451,-61.569859,2.86,9236
,2.000084,-21.077831,3.99,9347
Alrescha,2.034117,2.763759,3.82,9487
,2.057268,72.421294,3.95,9598
Almach,2.064984,42.329725,2.1,9640
Hamal,2.119555,23.462423,2.01,9884
,2.159058,34.987297,3.0,10064
,2.275154,-51.512165,3.56,10602
Polaris,2.52975,89.264109,1.97,11767
Kaffaljidhma,2.721678,3.235818,3.47,12706
Bharani,2.833063,27.260507,3.61,13209
Miram,2.844945,55.895496,3.77,13268
,2.904295,52.762479,3.93,13531
Azha,2.940458,-8.898144,3.89,13701
Acamar,2.971023,-40.304672,2.88,13847
Menkar,3.037992,4.089734,2.54,14135
,3.079942,53.50644,2.91,14328
,3.08627,38.840274,3.32,14354
Algol,3.136148,40.955648,2.09,14576
Misam,3.158258,44.857544,3.79,14668
Dalim,3.201249,-28.987618,3.8,14879
